distance,n_fakes,n_reference,TP,FN,FP,TN,TPR,FPR
80,6,10,0,6,0,10,0.0,0.0
160,8,10,0,8,10,0,0.0,1.0
240,10,10,0,10,3,7,0.0,0.3
320,9,10,0,9,0,10,0.0,0.0
400,10,10,0,10,0,10,0.0,0.0
480,8,10,0,8,0,10,0.0,0.0
560,8,10,0,8,0,10,0.0,0.0
640,8,10,0,8,0,10,0.0,0.0
720,8,10,0,8,0,10,0.0,0.0
800,8,10,0,8,0,10,0.0,0.0
880,10,10,0,10,0,10,0.0,0.0
960,10,10,0,10,0,10,0.0,0.0
1040,10,10,0,10,0,10,0.0,0.0
1120,9,10,0,9,0,10,0.0,0.0
1200,7,10,0,7,0,10,0.0,0.0
1280,9,10,0,9,0,10,0.0,0.0
1360,10,10,0,10,0,10,0.0,0.0
1440,10,10,0,10,0,10,0.0,0.0
1520,10,10,0,10,0,10,0.0,0.0
1600,10,10,0,10,0,10,0.0,0.0
1680,10,10,0,10,0,10,0.0,0.0
1760,7,10,0,7,0,10,0.0,0.0
1840,8,10,0,8,0,10,0.0,0.0
1920,5,10,0,5,0,10,0.0,0.0
2000,8,10,0,8,0,10,0.0,0.0
