distance,n_fakes,n_reference,TP,FN,FP,TN,TPR,FPR
80,10,10,5,5,0,10,0.5,0.0
160,10,10,3,7,0,10,0.3,0.0
240,10,10,0,10,0,10,0.0,0.0
320,10,10,2,8,0,10,0.2,0.0
400,10,10,2,8,0,10,0.2,0.0
480,10,10,0,10,0,10,0.0,0.0
560,10,10,0,10,0,10,0.0,0.0
640,10,10,2,8,0,10,0.2,0.0
720,10,10,1,9,0,10,0.1,0.0
800,10,10,1,9,0,10,0.1,0.0
880,10,10,2,8,1,9,0.2,0.1
960,10,10,2,8,1,9,0.2,0.1
1040,10,10,3,7,2,8,0.3,0.2
1120,10,10,4,6,4,6,0.4,0.4
1200,10,10,2,8,1,9,0.2,0.1
1280,10,10,1,9,3,7,0.1,0.3
1360,10,10,1,9,0,10,0.1,0.0
1440,10,10,2,8,0,10,0.2,0.0
1520,10,10,3,7,0,10,0.3,0.0
1600,10,10,1,9,0,10,0.1,0.0
1680,10,10,2,8,0,10,0.2,0.0
1760,10,10,2,8,0,10,0.2,0.0
1840,10,10,2,8,0,10,0.2,0.0
1920,10,10,0,10,0,10,0.0,0.0
2000,10,10,2,8,1,9,0.2,0.1
